app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,opts,extensions,log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,256345,90627,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,250796,90627,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,256345,90627,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,250796,90627,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,256345,90627,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,158093,56427,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,163028,56427,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,158093,56427,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,163028,56427,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,158093,56427,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,163028,56427,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,158093,56427,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
